"code","name","sector","section","has_item","reg_day","code","reg_day","open","high","low","close","change_price","change_rate","volume","margin_rate","volume_retail","volume_insti","volume_foreign","volume_program","foreign_rate","volume_short","cap"
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-07-24,800,810,795,800,5,0.63,856467,5.81,18045,0,-36350,0,0.48,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-07-23,790,800,790,795,0,0.0,552346,5.92,-36079,0,72158,0,0.52,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-07-22,800,805,795,795,0,0.0,503626,5.94,0,0,0,0,0.44,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-07-21,800,805,785,795,5,0.63,790970,5.85,-13857,0,27714,0,0.44,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-07-20,785,800,785,790,5,0.64,706816,5.88,-10500,0,21000,0,0.41,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-07-17,800,810,785,785,-10,-1.26,852669,5.82,13841,0,-27682,0,0.39,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-07-16,820,830,795,795,-10,-1.24,823730,5.64,-15994,0,31988,0,0.42,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-07-15,800,820,790,805,10,1.26,790097,5.6,-52876,0,105752,0,0.38,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-07-14,800,810,780,795,0,0.0,359705,5.47,4303,0,-8606,0,0.26,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-07-13,825,825,785,795,-25,-3.05,618684,5.44,47711,0,-95422,0,0.27,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-07-10,815,840,800,820,0,0.0,1446183,5.54,19041,0,-36082,0,0.38,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-07-09,820,830,805,820,15,1.86,556360,5.45,-27001,0,54002,0,0.42,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-07-08,810,825,805,805,-20,-2.42,389503,5.51,-10465,0,20930,0,0.36,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-07-07,830,830,810,825,5,0.61,670359,5.85,12351,0,-24702,0,0.34,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-07-06,810,830,795,820,20,2.5,1114051,5.81,-48187,0,96374,0,0.36,0,0
"047810",한국항공우주,KOSPI,주식,,2022-09-24,"047810",2009-07-03,770,835,760,800,20,2.56,1859840,5.98,-47675,0,95350,0,0.26,0,0
